gene	Knum
NODE_10000_length_1622_cov_338.346926_g6872_i0.p1	K02025
NODE_10001_length_1622_cov_301.820065_g835_i1.p1	K14645
NODE_10003_length_1622_cov_34.427832_g6873_i0.p1	K22803
NODE_10005_length_1622_cov_21.722330_g6875_i0.p1	K24756
NODE_10006_length_1622_cov_8.773463_g6876_i0.p1	K17256
NODE_10007_length_1622_cov_6.169579_g6877_i0.p1	K00888
NODE_1000_length_4300_cov_24.137106_g27_i4.p1	K10408
NODE_10010_length_1621_cov_2502.645078_g6752_i1.p2	K09640
NODE_10011_length_1621_cov_2441.810881_g6879_i0.p1	K16898
NODE_10012_length_1621_cov_1619.887306_g6880_i0.p1	K02835
NODE_10013_length_1621_cov_907.465026_g6881_i0.p1	K19572
NODE_10014_length_1621_cov_708.157383_g6882_i0.p1	K20283
NODE_10015_length_1621_cov_533.093912_g5164_i1.p1	K14815
NODE_10016_length_1621_cov_120.674223_g3124_i3.p1	K10570
NODE_10017_length_1621_cov_119.165155_g3124_i4.p1	K10570
NODE_10018_length_1621_cov_79.307642_g6883_i0.p1	K01873
NODE_1001_length_4298_cov_492.474058_g660_i0.p1	K03808
NODE_10020_length_1621_cov_7.862047_g6885_i0.p1	K06062
NODE_10021_length_1620_cov_21305.626053_g6886_i0.p3	K0167
NODE_10022_length_1620_cov_7304.552819_g5587_i1.p2	K00921
NODE_10023_length_1620_cov_3135.042774_g6887_i0.p1	K10779
NODE_10024_length_1620_cov_1963.344783_g6888_i0.p1	K05194
NODE_10025_length_1620_cov_604.669475_g6889_i0.p1	K03529
NODE_10027_length_1620_cov_368.333765_g6891_i0.p1	K00286
NODE_10028_length_1620_cov_338.257291_g6892_i0.p2	K1481
NODE_10029_length_1620_cov_317.874919_g6893_i0.p1	K04429
NODE_1002_length_4298_cov_86.362947_g661_i0.p1	K20276
NODE_10030_length_1620_cov_43.326636_g6894_i0.p1	K22132
NODE_10031_length_1620_cov_18.648088_g6895_i0.p1	K02331
NODE_10032_length_1620_cov_11.500324_g6896_i0.p1	K22909
NODE_10033_length_1620_cov_7.441996_g6897_i0.p1	K19326
NODE_10034_length_1619_cov_8625.729572_g6898_i0.p1	K01023
NODE_10035_length_1619_cov_4344.144617_g6899_i0.p4	K10392
NODE_10035_length_1619_cov_4344.144617_g6899_i0.p1	K06627
NODE_10036_length_1619_cov_889.586900_g6900_i0.p1	K10997
NODE_10038_length_1619_cov_463.487030_g6902_i0.p1	K12320
NODE_10039_length_1619_cov_274.064202_g6903_i0.p1	K08191
NODE_1003_length_4297_cov_361.884360_g662_i0.p1	K22719
NODE_10040_length_1619_cov_29.727626_g6904_i0.p1	K09273
NODE_10041_length_1619_cov_4.153048_g6905_i0.p1	K01869
NODE_10044_length_1618_cov_2015.182998_g6907_i0.p1	K01365
NODE_10045_length_1618_cov_1637.362103_g1148_i10.p1	K14742
NODE_10046_length_1618_cov_1361.055159_g2515_i3.p1	K19607
NODE_10048_length_1618_cov_72.792343_g6908_i0.p1	K03469
NODE_1004_length_4294_cov_263.470714_g663_i0.p1	K03469
NODE_10051_length_1617_cov_2741.071429_g6909_i0.p1	K09291
NODE_10052_length_1617_cov_1706.136364_g2146_i1.p1	K23883
NODE_10053_length_1617_cov_1639.577273_g6910_i0.p1	K23628
NODE_10054_length_1617_cov_409.344805_g6911_i0.p1	K16298
NODE_10055_length_1617_cov_242.585714_g6912_i0.p1	K03470
NODE_10056_length_1617_cov_101.331169_g6913_i0.p4	K25449
NODE_10057_length_1617_cov_83.195455_g6914_i0.p1	K01148
NODE_10058_length_1617_cov_46.087013_g939_i4.p5	K08834
NODE_10058_length_1617_cov_46.087013_g939_i4.p1	K01358
NODE_10059_length_1617_cov_11.035714_g6915_i0.p1	K03977
NODE_1005_length_4293_cov_214.734820_g664_i0.p1	K03469
NODE_1005_length_4293_cov_214.734820_g664_i0.p8	K03469
NODE_10060_length_1617_cov_4.722727_g6916_i0.p1	K08132
NODE_10061_length_1616_cov_1164.918129_g6917_i0.p1	K00318
NODE_10062_length_1616_cov_1028.085770_g6917_i1.p1	K00318
NODE_10063_length_1616_cov_687.168291_g6918_i0.p1	K11855
NODE_10064_length_1616_cov_326.574399_g6919_i0.p1	K1808
NODE_10066_length_1616_cov_39.528265_g939_i5.p4	K08834
NODE_10067_length_1616_cov_14.460039_g6921_i0.p1	K04910
NODE_10068_length_1616_cov_5.821313_g6922_i0.p1	K10772
NODE_10069_length_1615_cov_12950.020806_g6923_i0.p1	K0663
NODE_1006_length_4292_cov_235.457414_g665_i0.p1	K0490
NODE_10070_length_1615_cov_12114.372562_g6923_i1.p1	K0663
NODE_10071_length_1615_cov_5586.375163_g3850_i1.p1	K14786
NODE_10072_length_1615_cov_2539.239922_g3825_i2.p1	K22045
NODE_10073_length_1615_cov_1818.574772_g3825_i3.p1	K22045
NODE_10074_length_1615_cov_1740.834850_g6924_i0.p1	K15187
NODE_10075_length_1615_cov_592.586476_g6925_i0.p1	K20478
NODE_10076_length_1615_cov_405.797139_g6926_i0.p1	K18480
NODE_10077_length_1615_cov_345.745124_g6927_i0.p1	K08202
NODE_10078_length_1615_cov_6.590377_g6928_i0.p1	K03483
NODE_10079_length_1614_cov_6705.694860_g6929_i0.p2	K24220
NODE_1007_length_4290_cov_1304.537384_g666_i0.p1	K03255
NODE_10080_length_1614_cov_2987.195836_g6887_i1.p1	K03725
NODE_10081_length_1614_cov_1255.814574_g6753_i2.p1	K01023
NODE_10082_length_1614_cov_996.139232_g6930_i0.p1	K19755
NODE_10083_length_1614_cov_361.141184_g5224_i3.p1	K20282
NODE_10084_length_1614_cov_352.551724_g6931_i0.p1	K08221
NODE_10086_length_1614_cov_51.940143_g6933_i0.p1	K01890
NODE_10088_length_1614_cov_24.422902_g2459_i2.p2	K20225
NODE_10088_length_1614_cov_24.422902_g2459_i2.p1	K05948
